"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName";"color";"lieferzeit";"Wichtigste Produkteigenschaften Aufzahlungspunkt 1";"Wichtigste Produkteigenschaften Aufzahlungspunkt 2";"Wichtigste Produkteigenschaften Aufzahlungspunkt 3";"Wichtigste Produkteigenschaften Aufzahlungspunkt 4";"Wichtigste Produkteigenschaften Aufzahlungspunkt 5";"Available sizes";"virtual_top10ofbrand";"virtual_top25"
"AD1-0003-10";"Adidas Damenschuhe Sneaker NIZZA HIGH SLEEK";"Design Sneaker von adidas Originals - NIZZA HIGH SLEEK grauer Stoffsneaker. Topaktuelle Sneaker versandkostenfrei bei zalando.de bestellen - we serve shoes!";"59.00 EUR";"http://i1.ztatic.de/large/A/D/AD1-0003-10__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/adidas-nizza-high-sneaker-grau.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"grau";"1-2 Tage";"Sneaker mit grauem Flanell|Originals Sleek-Series";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"abriebfester Gummi";"38";"0";"0"
"CL1-0007-01";"Clarks Herrenschuhe Freizeitschuhe WALLABEE Mokassin";"Der Clarks Mokassins sind das Referenzmodell für Komfort und Qualtiät, der WALLABEE bietet einfach einen tollen Tragekomfort. Genießen Sie unseren kostenlosen und schnellen Versand bei Zalando.de!";"89.00 EUR";"http://i1.ztatic.de/large/C/L/CL1-0007-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/clarks-wallabee-mokassin.html?cg=03&ch=03";32436496;"Schuhe > Herrenschuhe > Freizeitschuhe";"schwarz";"1-2 Tage";"Exklusive Clarks Sohle; |Velour-Leder";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"echter Naturcrepe";"43 44 44,5 45 46";"0";"0"
"CR1-0001-01";"Creative Recreation Damenschuhe Sneaker GALOW HI";"Entdecken Sie die coolen GALOW HI Edel-Sneaker von Creative Recreation, damit sind sie diesen Winter top modisch unterwegs! Kostenlose und schnelle Lieferung nur bei Zalando.de.";"95.00 EUR";"http://i1.ztatic.de/large/C/R/CR1-0001-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/galow-hi-edel-sneaker-schwarz.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"schwarz";"1-2 Tage";"geprägter Logoschriftzug auf der Sohle|Metall-Schlüsselanhänger bei jedem Schuh dabei";"Leder";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37";"0";"0"
"CR1-0004-20";"Creative Recreation Damenschuhe Sneaker Di Coco Hi";"Creative Recreation setzt Trends bei Farbe genauso wie bei Material und Qualität - mit diesen coolen Edel Sneakern ist man diesen Winter top modisch unterwegs. Knallbunt oder edel gestylt? Beides! Bei zalando.de mit kostenlosem Versand - we serve shoes!";"75.00 EUR";"http://i1.ztatic.de/large/C/R/CR1-0004-20__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/di-coco-hi-edel-sneaker-bunt.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"multicolor";"1-2 Tage";"geprägter Logoschriftzug auf der Sohle|Metall-Schlüsselanhänger bei jedem Schuh dabei";"Leder";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36,5 37 37,5";"0";"0"
"TI1-0003-03";"Timberland Herrenschuhe Freizeitschuhe CLASSIC BOAT Docksider";"Timberland CLASSIC BOAT - Der Klassiker - braunes, robustes Leder, die charakteristische Schnürung und hervorragende Qualität. Genießen Sie jetzt den kostenlosen Versand bei Zalando.de";"129.90 EUR";"http://i1.ztatic.de/large/T/I/TI1-0003-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/timberland-classic-boat-braun.html?cg=03&ch=03";32436496;"Schuhe > Herrenschuhe > Freizeitschuhe";"braun";"1-2 Tage";"Bequem niedriger Schnitt|´Non-marking sole´, garantiert streifenfreie Laufsohle";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"41 41,5 43";"0";"0"
"TI1-0001-03";"Timberland Herrenschuhe Freizeitschuhe Traditional Docksider";"Timberland Traditional Docksider - DER Klassiker - braunes, robustes Leder, die charakteristische Schnürung und hervorragende Qualtität. Genießen Sie den kostenlosen Versand bei Zalando.de.";"149.90 EUR";"http://i1.ztatic.de/large/T/I/TI1-0001-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/timberland-traditional-classic-boat-braun.html?cg=03&ch=03";32436496;"Schuhe > Herrenschuhe > Freizeitschuhe";"braun";"1-2 Tage";"Extra verstärkter Schaft|besonders weiches Fußbett";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"41,5 41 43,5 44 45";"0";"0"
"TI1-0002-03";"Timberland Slipper Mokassins NOREEN 3 EYE Docksider Damen";"Timberland Traditional Docksider sind die Klassiker unter den Freizeitschuhen. Braunes, robustes Leder, charakteristisch grobe Schnürsenkel, robuste Gummisohle und hochwertige Verarbeitung . Kostenloser Versand. Zalando - we serve shoes!";"149.90 EUR";"http://i2.ztatic.de/large/T/I/TI1-0002-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/timberland-traditional-damen-braun.html?cg=03&ch=03";32492848;"Schuhe > Damenschuhe > Slipper > Mokassins";"braun";"1-2 Tage";"Extra verstärkter Schaft|besonders weiches Fußbett";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"36 37 37,5 38,5 38 41";"1";"0"
"BL1-f21-0004-01";"Blowfish Outdoor  Boots HYBRID";"Absolut Stylischer Canvas Boot von Blowfish, Malibu aus Leinenstoff mit toller Schnalle. Genießen Sie die angesagten Modelle von Blowfish und unseren kostenlosen Versand bei Zalando.de.";"39.00 EUR";"http://i1.ztatic.de/large/B/L/BL1-f21-0004-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/hybrid-canvas-boot-schwarz.html?cg=03&ch=03";32512340;"Schuhe > Damenschuhe > Outdoor > Boots";"schwarz";"1-2 Tage";"Ringschnalle mit Klettriemen|Innenreißverschluss";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36";"0";"0"
"BL1-f21-0005-01";"Blowfish Damenschuhe Stiefel FURGIE";"Einfach COOL - Riemen Boot von Blowfish, Malibu in schwarz mit tollen Metall-Schnallen. Genießen Sie die Vielfalt an Blowfish-Modellen mit kostenlosem und schnellem Versand bei Zalando.de!";"59.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f21-0005-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/furgie-style-boot-schwarz.html?cg=03&ch=03";32436499;"Schuhe > Damenschuhe > Stiefel";"schwarz";"1-2 Tage";"Riemen mit Ringschnallen|herrlich weiches Innenfutter";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36";"0";"0"
"PA1-f24-0002-10";"Pataugas Outdoor  Boots ROSSINI";"PATAUGAS - die Kult-Marke aus Frankreich! Edler Stiefel in Metallic-Glanz aus softem Leder. Top Verarbeitung und extravaganter Look! Jetzt versandkosenfrei bestellen bei zalando.de";"109.00 EUR";"http://i2.ztatic.de/large/P/A/PA1-f24-0002-10__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/pataugas-leder-stiefel-grau-metallic.html?cg=03&ch=03";32512340;"Schuhe > Damenschuhe > Outdoor > Boots";"grau";"1-2 Tage";"Logo am Außenknöchel|praktischer Innen Zipper";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"36";"0";"0"
